controller,method,route,col3,col4,param,col6,annotation,request
SSRF,HTTPURLConnection,/SSRF/HTTPURLConnection/safe,,GetMapping,url,String,no AnAnnotation,
SSRF,HTTPURLConnection,/SSRF/HTTPURLConnection/safe,,GetMapping,getInputStream(...),InputStream,no AnAnnotation,getInputStream(...)
SSRF,HTTPURLConnection,/SSRF/HTTPURLConnection/safe,"""""",GetMapping,url,String,no AnAnnotation,
SSRF,HTTPURLConnection,/SSRF/HTTPURLConnection/safe,"""""",GetMapping,getInputStream(...),InputStream,no AnAnnotation,getInputStream(...)
SSRF,HTTPURLConnection,/SSRF/HTTPURLConnection/safe,{...},GetMapping,url,String,no AnAnnotation,
SSRF,HTTPURLConnection,/SSRF/HTTPURLConnection/safe,{...},GetMapping,getInputStream(...),InputStream,no AnAnnotation,getInputStream(...)
SSTI,thymeleafVul,/SSTI/thymeleaf/vul,,GetMapping,lang,String,RequestParam,
SSTI,thymeleafVul,/SSTI/thymeleaf/vul,"""""",GetMapping,lang,String,RequestParam,
SSTI,thymeleafVul,/SSTI/thymeleaf/vul,{...},GetMapping,lang,String,RequestParam,
SSTI,thymeleafSafe,/SSTI/thymeleaf/safe,,GetMapping,lang,String,RequestParam,
SSTI,thymeleafSafe,/SSTI/thymeleaf/safe,"""""",GetMapping,lang,String,RequestParam,
SSTI,thymeleafSafe,/SSTI/thymeleaf/safe,{...},GetMapping,lang,String,RequestParam,
SSTI,getDocument,/SSTI/doc/vul/{document},,GetMapping,document,String,PathVariable,
SSTI,getDocument,/SSTI/doc/vul/{document},"""""",GetMapping,document,String,PathVariable,
SSTI,getDocument,/SSTI/doc/vul/{document},{...},GetMapping,document,String,PathVariable,
SSTI,getDocument,/SSTI/doc/safe/{document},,GetMapping,document,String,PathVariable,
SSTI,getDocument,/SSTI/doc/safe/{document},"""""",GetMapping,document,String,PathVariable,
SSTI,getDocument,/SSTI/doc/safe/{document},{...},GetMapping,document,String,PathVariable,
SpEL,vul1,/SPEL/vul,,GetMapping,ex,String,no AnAnnotation,
SpEL,vul2,/SPEL/vul2,,GetMapping,ex,String,no AnAnnotation,
SpEL,spelSafe,/SPEL/safe,,GetMapping,ex,String,no AnAnnotation,
Traversal,download,/Traversal/download,,GetMapping,filename,String,no AnAnnotation,
Traversal,download,/Traversal/download,"""""",GetMapping,filename,String,no AnAnnotation,
